prompt,baseline,grpo,ppo,delta_grpo,delta_ppo
function Server (opts) {  	let server = this; 	server.send = send; 	let isBusy = true; 	 	let queue = []; 	if (!!opts.dir) { 		try { 			fs.mkdirSync(opts.dir); // default './outbox,7.478,7.478,7.478,0.000,0.000
"function ShoppingCart (objGoogleCheckout) { 	var self = this; 	 	//todo: check the constructor name 	assert.ok(objGoogleCheckout, ""A GoogleCheckout object is the only required argu",7.921,7.921,7.921,0.000,0.000
"function(tag, props){ 	var konstructor = Element.Constructors[tag]; 	if (konstructor) return konstructor(props); 	if (typeof tag != 'string') return document.id(tag).set(props);  	",7.735,7.688,8.153,-0.047,0.418
"function verifyIntent(subject, op, target, data, cb) {   var type = (_.isString(target)) ? target : target.type;   var listeners = listenersFor(op, type);   if (listeners.length ==",7.856,7.535,6.659,-0.321,-1.197
function(app){          // Cache the instance.         var self = this;          // Insert the instance into app.locals so it can be used in views.         app.locals[self.options.,7.723,7.723,6.064,0.000,-1.659
"function save(done) {     if (process.browser) return done();      fs.writeFile(__dirname + '/../../data/filesystem.json', JSON.stringify(fileContents), function(err) {         if ",8.548,8.548,7.815,0.000,-0.733
function compileValue(value) { 		if (value.subtype === 'array') { 			return compileArray(value) 		} else if (value.subtype === 'object') { 			return compileObject(value) 		} else i,9.239,8.823,9.353,-0.416,0.115
"function errorHandler(response, error) {     response       .status(500)       .send(error !== undefined && error !== null ? error.toString() : '')   }",7.372,7.372,7.594,0.000,0.222
function (event) {             // Only pay attention to delegated route events             // if `policy` is declared in event.target             if ( !event.target || !event.targe,6.937,6.937,7.762,0.000,0.825
"function createEvent(data = null) {     let isDefaultPrevented = false;      // 返回对象     return Object.create(data, {         defaultPrevented: {             get() {               ",7.225,8.082,7.899,0.857,0.674
function (string) { // string.check check sting type and size              return ((typeof string === 'string' || string instanceof String)                     && string.length >= ,7.852,7.852,7.563,0.000,-0.290
"function PrintCommand(args, define) {     if (args[args.length - 1] === "";"") {         this.noLine = true;         args = args.substr(-1);     } else this.noLine = false;      var ",8.312,8.312,8.312,0.000,0.000
"function Service(name) {   debug('new service: %s', name);   assert(name, ""service not supplied with name"");    this.name       = name;   this.middleware = [];   this.uri        = ",7.980,8.418,7.980,0.438,0.000
"function emitValue() {     var arr = toArray();     marker = arr[arr.length - 1];     setTimeout(function() {       emitter.emit('value', arr);     }, 0);   }",8.447,8.853,9.179,0.406,0.732
"function parseLine(line, i, labels, notLineNumber, manager) {     line = line.trim();      // Is it an empty line?     if (line === """") return new EmptyStatement('empty');      if ",8.570,8.570,8.570,0.000,0.000
"function entropy( out, arr, clbk ) { 	var len = arr.length, 		v, i; 	for ( i = 0; i < len; i++ ) { 		v = clbk( arr[ i ], i ); 		if ( typeof v === 'number' ) { 			out[ i ] = ENTROPY",8.197,8.197,8.197,0.000,0.000
"function findNextOutside(data, items, index, exclude) {     var result, positionResult = {start: 0, end: index ? index - 1 : -1};      do {         result = findNext(data, items, p",7.305,7.335,7.276,0.030,-0.029
"function(err, result) {                         if (err) {                             cb0(err);                         } else {                             var retErr = null;    ",8.579,8.579,8.021,-0.000,-0.558
"function(app, route){          var self = this;          var controller;         var controllerPath = self.options.controllersPath + route.controller;          // Load the controll",8.364,8.364,7.076,0.000,-1.287
"function(){ 			var radioNames=[],error; 			this.$form.find(selectorAllElements).forEach(function($elt){ 				if($elt.is('input[type=""radio""]')){ 					var name=$elt.attr('name'); 			",6.290,6.290,5.935,0.000,-0.354
function ExecutionContext(options) {     EventEmitter.call(this);      this.stringVars = {};     this.numberVars = {};     this.pointers = {};     this.gosubs = [];     this.privat,8.728,8.728,8.728,0.000,0.000
"function (i, validate){   // we offer a shortcut to get types when only one argument is provided   if (arguments.length === 1) {     return av.type(i);   }    // we store the value",7.208,8.094,7.832,0.887,0.625
"function skipUntil(predicate) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_18, _a;             let i = 0",8.522,7.763,8.600,-0.759,0.078
"function sprintf (fstr, array) {   // check the formatted string is for JSON and confirm is a valid JSON   array.forEach(function (value) {     fstr = format(fstr, value);   });   ",7.640,7.640,7.477,0.000,-0.163
"function(H,method){ 		this.H=H; 		S.Elt.WithContent.call(this); 		this.attr('method',method); 		S.FormValidator && S.FormValidator.getValidator(this); 	}",6.998,7.188,7.223,0.190,0.225
"function listenFn(err) {     debug('%s: start listening on %o', this.name, this.uri.get());     this.uri.setPort(instance.address().port);     this.emit('start');     this.status.s",8.035,8.150,8.035,0.115,0.000
"function getAttribute(node, prop) {             if (node && node.el) {                 return node.el.getAttribute(prop);             } else {                 return undefined;    ",7.481,7.477,7.481,-0.004,0.000
"function removeAttribute(node, prop) {             if (node && node.el) {                 node.el.removeAttribute(prop);             }         }",7.982,8.071,7.982,0.089,0.000
"async function last(iterable) {     var e_12, _a;     let last = undefined;     try {         for (var iterable_10 = __asyncValues(iterable), iterable_10_1; iterable_10_1 = awa",7.725,7.725,7.587,0.000,-0.138
function(cb) {             // Callback is optional             cb = util.optional(cb);              // Grab policies config & policy modules and trigger callback             this.l,8.214,8.214,8.214,0.000,0.000
"function match({ just, nothing }) {     return function (maybe) {         for (const value of maybe) {             return just(value);         }         return nothing();    ",8.034,8.048,7.981,0.014,-0.053
"function _bindPolicies (mapping, middlewareSet) {     _.each(middlewareSet, function (_c, id) {          var topLevelPolicyId = mapping[id];         var actions, actionFn;         ",7.699,7.699,7.699,0.000,0.000
"function RegexFinderStrategy(config) { 	config = config || {};  	FinderStrategy.call(this, config); 	this.config = extend(true, this.config, {}, config); }",8.471,8.480,7.870,0.009,-0.601
"function snakeCase(str, sep = '_') {     return words(str).reduce(         (result, word, idx) => result + (idx ? sep : '') + lowerCase(word), ''     ); }",7.606,7.606,7.606,0.000,0.000
"function deepLook(obj, types) {   if (typeof (obj) !== 'object') return obj;   for (var key in obj) {     if (!obj[key].type) {       obj[key] = deepLook(obj[key], types);     } el",8.674,8.674,8.674,0.000,0.000
"function attach(node) {             if (node && node.el && node.placeholder && node.placeholder.parentNode) {                 node.placeholder.parentNode.replaceChild(node.el, node",7.837,7.837,7.837,0.000,0.000
"function FunctionStatement(name, args) {     if (name[name.length - 1] === '$') {         this.type = 'string';         this.name = name.substring(0, name.length - 1);     } else {",8.185,8.588,8.463,0.403,0.278
"function or(defaultValue) {     return function (maybe) {         for (const value of maybe) {             return maybe_1.just(value);         }         return defaultValue; ",8.559,8.559,8.638,0.000,0.079
"function getStyle(node, prop) {             if (node && node.el) {                 if (node.el !== undefined && node.el.style !== undefined) {                     return node.el.st",8.168,8.168,8.168,0.000,0.000
"function(cb) {       Person.find('Scott', function(err, person) {         if (err) { return cb(err); }          assert(person.uuid);         assert(person.name === 'Scott');       ",7.374,7.374,7.374,0.000,0.000
"function MQlobberClient(stream, options) {     EventEmitter.call(this);      options = options || {};      this._options = options;     this.subs = new Map();     this._matcher = n",7.625,7.625,7.625,0.000,0.000
"function resolveFilePatterns (baseDir, patterns, opt_omitWarnings) {   var resolvedFiles = [];    if (patterns) {     for (var i = 0; i < patterns.length; ++i) {       var matches ",7.942,7.942,8.105,0.000,0.163
"function execute(ast, ctx, done) {     if (!done && !(ctx instanceof ExecutionContext)) {         done = ctx;         ctx = new ExecutionContext();     }      ast.execute(ctx, done",9.026,9.026,8.411,0.000,-0.615
function detach(node) {             if (node.placeholder instanceof HTMLElement === false) {                 node.placeholder = createPlaceholder(node.data.tag || node.el.tagName);,7.915,7.750,7.750,-0.165,-0.165
"function updateAt(index, value) {     return function (source) {         return __asyncGenerator(this, arguments, function* () {             var e_31, _a;             let i = 0",8.049,8.362,8.362,0.313,0.313
"function entropy( arr, path, sep ) { 	var len = arr.length, 		opts = {}, 		dget, 		dset, 		v, i; 	if ( arguments.length > 2 ) { 		opts.sep = sep; 	} 	if ( len ) { 		dget = deepGet(",8.394,8.227,8.301,-0.167,-0.093
"function scan(predicate, initial) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_7, _a;             let in",8.151,8.109,8.002,-0.042,-0.149
"function distinct(it) {     return __asyncGenerator(this, arguments, function* distinct_1() {         var e_24, _a;         const resultSet = new Set();         try {         ",8.316,8.316,8.316,0.000,0.000
"function find(b, ptr, target, level, compare, gt) {   level = level || r_levels(b, ptr)   compare = compare || _compare   gt = gt !== false   var prev_ptr = 0   while(true) {     i",7.272,7.742,7.646,0.470,0.374
"function copy (target, source) {   for (var key in Object(source)) target[key] = source[key]   return target }",9.044,8.996,8.952,-0.049,-0.092
"function CommonJSResolverStrategy(config) { 	BasicResolverStrategy.call(this, config); 	this.config = extend(true, this.config, {}, config); }",9.706,9.706,9.265,0.000,-0.441
"function filter(predicate) {     return flatMap(value => predicate(value) ? maybe_1.just(value) : maybe_1.nothing()); }",8.561,8.398,8.561,-0.163,0.000
"function wrapContext(context) {   var retObj = {},       reservedRegexp = /^(topic|beforeEach|afterEach)$/,       key,       subcontext,       beforeFn = context.beforeEach,       ",7.933,7.760,7.760,-0.174,-0.174
"async function count(source) {     var e_33, _a;     let i = 0;     try {         for (var source_4 = __asyncValues(source), source_4_1; source_4_1 = await source_4.next(), !so",8.429,8.412,8.429,-0.017,0.000
"function insert (b, node, value) {   return updateNext(b, node, cons(b, value, readNext(b, node))) }",7.947,7.947,7.947,0.000,0.000
"function on(element, ev, cb, context) {             for (var _len = arguments.length, args = Array(_len > 4 ? _len - 4 : 0), _key = 4; _key < _len; _key++) {                 args[_",6.992,7.576,7.362,0.584,0.370
"function map(mapper) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_2, _a;             let index = 0;    ",8.362,7.646,8.148,-0.716,-0.214
function bemRequireLoader(source) {   const bemFs = nodeEval(source);    const targets = [];   const self = this;   bemFs.forEach((source) => {     if (source['raw']) {       targe,8.837,8.837,8.967,0.000,0.131
"function filter(predicate) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_5, _a;             let index = 0",7.152,7.535,7.535,0.383,0.383
"function indexOfOutside(data, item, index, exclude) {     var result, positionResult = {start: 0, end: index ? index - 1 : -1};      do {         result = data.indexOf(item, positi",7.398,7.244,7.585,-0.153,0.188
"function(){ 					App.info(""Listening on port ""+port); 					/*#if DEV*/ 					var notify = require('notify-send'); 					//notify-send ""Volume"" -i /usr/share/notify-osd/icons/gnome/sc",7.938,7.938,7.938,0.000,0.000
function processFile(file) { 		var changed = true;  		while(changed && !file.processed) { 			changed = false; 			changed = processWraps(file); 			changed = processInserts(file); 		,7.516,7.722,8.368,0.206,0.852
"function($node,val){ 					var valAsNumber = $node.prop('valueAsNumber'); 					return !( (valAsNumber && (val=valAsNumber)) || ( /^-?[0-9]+(\.[0-9]*)?(E(-|\+)?[0-9]+)?$/i.test(val) ",6.871,6.871,6.871,0.000,0.000
"function removeClass(node, className) {             if (node && node.el) {                 node.el.classList.remove(className);             }         }",7.611,7.396,7.412,-0.214,-0.199
"function logger(stream){ 	return (...text) => { 		text.map(text => { 			console.log(text) 			stream.write(`${Date.now()} - ${JSON.stringify(text)}\n`) 		}) 	} }",8.555,8.205,8.581,-0.350,0.026
function start(options) {     options = options || {};      var prompt = options.prompt || '> ';      var eval = options.eval || run;      var context = new ExecutionContext();    ,9.043,8.799,8.676,-0.244,-0.367
"function throwSyntaxError(message, errorLine, size) { 		errorLine = errorLine === undefined ? line : errorLine 		size = size === undefined ? 1 : size 		var snippet = getSnippet(sou",8.595,8.595,8.595,0.000,0.000
"function getBase64 (url, fn, opt) {   var m = /^(https?):\/\/([^:\/]+)(?::(\d+))?([^:]*)$/.exec(url);   if (!opt) opt = {};   if (m !== null) {     http.get({host:m[2], port:parseI",7.472,7.559,7.200,0.087,-0.272
function(cb) {             // Load policy modules             sails.log.verbose('Loading policy modules from app...');             sails.modules.loadPolicies(function modulesLoaded,7.618,7.618,7.563,0.000,-0.055
function remove(el) {             while (el._events.length > 0) {                 el._events.shift().remove();             }              if (el.children) {                 destroy,7.196,7.196,7.462,0.000,0.267
function add(snapshot) {     return Promise       .resolve(mapFn(snapshot))       .then(function(val) {         data[snapshot.key()] = val;       });   },7.602,7.888,7.840,0.286,0.238
"function(data){ 			this.data = UObj.extend(this.data,data); 			return this.update(null,{ data: data }); 		}",7.767,7.722,7.767,-0.044,0.000
"function insertBefore(parent, child, index) {             var parentEl = parent.el,                 childEl = child.el;             if (parentEl !== undefined && childEl !== undefi",7.217,7.425,7.615,0.208,0.398
"function identity(iterable) {     return __asyncGenerator(this, arguments, function* identity_1() {         return yield __await(yield __await(yield* __asyncDelegator(__asyncValu",7.779,7.623,7.850,-0.156,0.072
"function Stream(ref, opts) {   var data = {},       emitter = this,       mapFn, started, ended, readable, marker;    if (!opts) opts = {};   if (!opts.page) opts.page = 10;     //",7.760,7.760,7.760,0.000,0.000
"function splitOutside(data, separator, exclude) {     var result = [];      var accumulator = """";     for (var i = 0; i < data.length; i++) {         accumulator += data[i];       ",7.995,7.812,8.199,-0.184,0.204
"function parseName(name) {         var modName = undefined,             ext = undefined,             temp = undefined,             index = name.indexOf('.'),             isRelative",8.670,8.443,8.443,-0.227,-0.227
"function publish(subject, op, target) {   try {     var type = (_.isString(target)) ? target : target.type;     var topic = getTopic(type);     // optimization: would be nice to te",7.519,7.519,7.519,0.000,0.000
"function takeUntil(predicate) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_16, _a;             let i = 0",8.658,7.651,8.279,-1.007,-0.379
"function (modelName, entity, options, next) {     if (typeof options === 'function') next = options;     if (!options) options = {};      var modelObject = this.registeredModels[mo",8.730,8.840,8.512,0.110,-0.219
function TriangleCommand(args) {     var parsed = new statements.ArgumentStatement(args);      if (parsed.args.length < 6) throw new SyntaxError('TRIANGLE command requires 6 argume,8.174,7.819,8.002,-0.355,-0.172
"function(action){          var url;         var error;          // Iterate over the routes, looking for a match.         var routes = this.getRoutes();         for (var i = 0; url ",6.528,7.057,6.698,0.529,0.171
function (policy) {             // Recursively normalize lists of policies             if (_.isArray(policy)) {                 // Normalize each policy in the chain               ,7.697,7.697,7.697,0.000,0.000
function end() {   this.writeBuffer(this.crc.value());   fs.closeSync(this.fd);    this.fd = null;   this.crc = null;   this.converter = null; },8.071,7.954,7.905,-0.117,-0.166
function drawAllDataPoints(animationDecimal){ 			var rotationDegree = (2*Math.PI)/data.datasets[0].data.length;  			ctx.save(); 			//translate to the centre of the canvas. 			ctx.t,6.789,6.789,6.789,0.000,0.000
"function(string, args){ 		string = i18n.appTranslations[string] || string; 		return args ? UString.vformat(string,args) : string; 	}",7.295,7.295,8.123,0.000,0.828
function Load (options) {   var self = this;   self._path = options.path || './config';   self._environment = options.environment || args().env || 'development';   self._reload = o,8.313,8.080,8.480,-0.232,0.167
"function pad(data, length, pad) {     data = String(data);     pad = pad || ' ';     while (data.length < length) data += pad;     return data; }",7.812,7.812,7.812,0.000,0.000
"function genProperty(members, name) {     var res = {         name: name,         deprecated: false,         description: '',         types: []     };      members.filter({        ",7.994,7.994,6.952,0.000,-1.041
"function(cb) {       Person.findOrCreate({ name: 'Scott' }, function(err, person) {         assert(Person.isInstance(person));         assert(person.uuid);         assert(person.na",7.637,7.541,7.627,-0.096,-0.011
"function removeAt(index) {     return function (source) {         return __asyncGenerator(this, arguments, function* () {             var e_32, _a;             let i = 0;     ",8.020,8.104,8.166,0.084,0.146
"function AbstractSyntaxTree(root, labels, manager) {     this.root = root;     this.labels = labels;     this.manager = manager;      manager.parse(this); }",9.028,8.675,9.028,-0.353,0.000
"function _vendorsList(vendors, ignore = false) {   let vendorsList = ''   let sign = (ignore) ? '-' : '+'    for (let vendor of vendors) {     vendorsList += ` ${sign} ${vendor}`  ",7.513,7.513,7.248,0.000,-0.266
"function cleanLines(block, lines) { 		var removeFirst = false 		if (lines.length && emptyRegex.test(lines[0].str)) { 			block.line += 1 			block.size -= 1 			removeFirst = true 		}",8.488,8.516,8.488,0.027,0.000
"function inPosition(index, items) {     for (var i = 0; i < items.length; i++) {         var item = items[i];         if (index >= item.start && index <= item.end) return item;    ",7.146,7.146,7.146,0.000,0.000
"function entropy( out, sigma ) { 	var len = sigma.length, 		i; 	for ( i = 0; i < len; i++ ) { 		out[ i ] = ENTROPY( sigma[ i ] ); 	} 	return out; }",7.419,7.355,7.992,-0.064,0.573
"function SleepCommand(args, define) {     this.duration = new statements.ExpressionStatement(args, define);     if (this.duration.error) throw this.duration.error; }",8.525,8.525,8.311,0.000,-0.214
"function(verb, path, controllerName){          // Load the referenced controller.         var controllerPath = this.options.controllersPath + controllerName;         try {         ",7.824,8.324,7.098,0.500,-0.726
"function setStyle(node, prop, value) {             if (node && node.el) {                 if (isObject(prop)) {                     Object.keys(prop).forEach(function (key) {      ",8.358,8.358,8.358,0.000,0.000
"function orderBy(keySelector, comparison) {     const trueKeySelector = keySelector || defaultKeySelector;     const trueComparison = comparison || defaultComparison;     return",7.933,7.933,7.933,0.000,0.000
function Client (opts) { 	this.id = opts.id; 	this.opts = opts; 	this.send = send;  	this.isConnected = false; 	let client = this;  	let queue = []; 	let callbacks = {}; 	let isBus,7.288,7.288,7.288,0.000,0.000
function appendLine(type) { 		var len = section.children.length 		if (newBlock || 			!len || 			section.children[len - 1].type !== type) { 			section.children.push({ 				type: type,8.773,8.900,8.773,0.126,0.000
"function(fragmentOverride,state){ 			var fragment = baseUrl+( this.fragment = this.getFragment(fragmentOverride)); 			if(fragment){ 				var a=$('a[href=""'+fragment+'""]'); 				a.len",7.775,7.822,7.775,0.047,0.000
"function( data ){  		var result = {}, attributeCount = 0;  		_.each(data, function(value, key){  			result['Attribute.' + attributeCount + '.Name'] = key; 			result['Attribute.' + ",6.556,6.556,6.692,0.000,0.136
"function(callback,onEnd){ 			//because next function is changing, we can't go this.next.bind(this) 			S.asyncWhile(function(){ this.next.apply(null,arguments); }.bind(this),callbac",8.839,8.845,8.839,0.006,0.000
"function(key, secret, region){  			this.sdb = aws.load('sdb', key, secret); 			this.sdb.setRegion(region);  			return this;  		}",8.582,8.751,8.916,0.169,0.334
"function align(key, leftStream, rightStream, epsilon) {   // TODO probably need to add stream options support for thigns like high water mark   var aligner = new Aligner(key, {}, e",8.744,8.118,8.118,-0.626,-0.626
"function () {     // Collect the arguments for passing     var args = [].slice.call(arguments);      // Run the items in order and capture the return value     before.apply(this, a",7.953,7.953,7.836,0.000,-0.117
"function getArrayIndexAt(arr, dimensions, data) {     var currentDimension = dimensions[0];     data.validate(currentDimension, 'number');     currentDimension = Math.max(0, Math.f",8.082,8.056,8.069,-0.026,-0.013
"function DimCommand(args) {     var parsed = new statements.ArgumentStatement(args, {         parseArgs: false     });      this.creates = [];      for (var i = 0; i < parsed.args.",8.553,8.877,8.308,0.324,-0.245
"function SyncFile(path, flags, mode) {   flags = flags || 'w';   this.fd = fs.openSync(path, flags, mode);   this.crc = new Crc64();   this.converter = new Converter(); }",9.022,8.025,8.025,-0.997,-0.997
"function plugin(opts) {     return function(files, metalsmith, done) {         async.eachSeries(Object.keys(files), prerender, done);          function prerender(file, done) {     ",7.669,8.260,7.639,0.590,-0.030
"function() {             // Build / normalize policy config             this.mapping = this.buildPolicyMap();             _bindPolicies(this.mapping, sails.middleware.controllers);",7.376,7.376,7.405,0.000,0.029
"function GoogleCheckout(settings) { 	var self = this; 	 	assert.ok(settings.merchantNumber, 'settings.merchantNumber is required'); 	assert.ok(settings.merchantKey, 'settings.merch",7.426,7.426,7.964,0.000,0.537
"function (engineName) {     var engine = engineName;      // If the engine is not a function, retrieve it from the modules     if (typeof engine !== 'function') {       engine = Sk",9.207,9.207,8.970,0.000,-0.237
"function pascalCase(str) {     return words(str).reduce((result, word, idx) => {         return result + (idx && isUpperCase(word) ? word : capitalize(word));     }, ''); }",7.729,7.729,7.277,0.000,-0.452
"function tap(tapper) {     return function (it) {         return __asyncGenerator(this, arguments, function* () {             var e_1, _a;             let index = 0;          ",8.265,8.204,8.286,-0.061,0.021
function TcolorCommand(args) {     var parsed = new statements.ArgumentStatement(args);      if (parsed.args.length < 3) throw new SyntaxError('TCOLOR command requires 3 arguments',8.431,8.431,8.482,0.000,0.051
"function isNode (node, type) {   var isNode = true   var requiredProps = [     'attributes',     'children',     'type'   ]    requiredProps.some(function (prop) {     if (!node[pr",7.956,7.956,7.938,0.000,-0.018
"async function toWriteableArray(iterable) {     var e_30, _a;     const blob = [];     try {         for (var iterable_18 = __asyncValues(iterable), iterable_18_1; iterable_18_",7.650,8.079,7.650,0.430,0.000
"function unshift(...next) {     return function (it) {         return __asyncGenerator(this, arguments, function* () {             for (let i = 0; i < next.length; ++i)        ",7.901,8.171,9.194,0.270,1.293
"function lastIndexOfOutside(data, item, index, exclude) {     var result, positionResult = {start: index ? index + 1 : data.length + 1, end: 0};      do {         result = data.las",7.695,7.695,7.695,0.000,0.000
"function CloseCommand(args, define) {     var parsed = new statements.ExpressionStatement(args, define);     if (!(parsed.child instanceof statements.PointerStatement)) throw new S",8.768,8.768,8.655,0.000,-0.112
"function insert (b, ptr, target, level, compare) {   level = level || r_levels(b, ptr)   compare = compare || _compare   var free = b.readUInt32LE(0) || 8    //figure out before ha",7.228,7.228,7.228,0.000,0.000
"function(url, params){          // If the parameters weren't in the form of an array, fix that.         if (!(params instanceof Array)){             params = [params];         }   ",7.378,7.228,7.228,-0.150,-0.150
function RrectCommand(args) {     var parsed = new statements.ArgumentStatement(args);      if (parsed.args.length < 5) throw new SyntaxError('RRECT command requires 5 arguments');,7.970,7.970,7.364,0.000,-0.606
"function genEntityDescription(data, kind, entityName) {     return data({kind: kind, name: entityName}).select('description').join('\n\n'); }",7.841,7.841,7.841,0.000,0.000
"function take(count) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_9, _a;             let i = 0;        ",7.381,7.871,8.042,0.491,0.662
